OrgID,Department,Employee_Number,Telework Eligible Class,Work Schedule,1 Way Commute Miles,1 Way Commute Minutes,Telework Days,Report Date
7760,DGS,DGS03114,Yes,Standard,23.2,36.09,5,10/18/2021
7760,DGS,DGS03115,Yes,Standard,5.19,14.64,5,10/18/2021
7760,DGS,DGS03116,Yes,Standard,5.69,11.35,5,10/18/2021
7760,DGS,DGS03117,Yes,Standard,10.93,24.8,1,10/18/2021
7760,DGS,DGS03118,Yes,Standard,14.49,27.38,1,10/18/2021
7760,DGS,DGS03119,Yes,Standard,2.18,8.62,4,10/18/2021
7760,DGS,DGS03120,Yes,Standard,8.97,28,2,10/18/2021
7760,DGS,DGS03121,Yes,Standard,7.55,16.04,5,10/18/2021
7760,DGS,DGS03122,Yes,Standard,14.76,28.24,5,10/18/2021
7760,DGS,DGS03126,Yes,Standard,15.87,30.74,5,10/18/2021
7760,DGS,DGS03127,Yes,Standard,6.64,21.17,3,10/18/2021
7760,DGS,DGS03128,Yes,Standard,13.17,25.16,5,10/18/2021
7760,DGS,DGS03129,Yes,Standard,3.38,12.36,5,10/18/2021
7760,DGS,DGS03130,Yes,Standard,14.62,28.21,4,10/18/2021
7760,DGS,DGS03132,Yes,Standard,14.51,26.99,5,10/18/2021
7760,DGS,DGS03133,Yes,Standard,17.27,31.11,5,10/18/2021
7760,DGS,DGS03134,Yes,Standard,19.66,29.58,4,10/18/2021
7760,DGS,DGS03135,Yes,Standard,14.71,28.83,3,10/18/2021
7760,DGS,DGS03136,Yes,Standard,6.01,13.66,5,10/18/2021
7760,DGS,DGS03137,Yes,Standard,7.74,23.04,4,10/18/2021
7760,DGS,DGS03138,Yes,Standard,11.27,23.44,2,10/18/2021
7760,DGS,DGS03139,Yes,Standard,38.68,44.75,5,10/18/2021
7760,DGS,DGS03140,Yes,Standard,15.79,32.14,5,10/18/2021
7760,DGS,DGS03141,Yes,Standard,14.25,29.72,5,10/18/2021
7760,DGS,DGS03142,Yes,Standard,16.79,27.73,5,10/18/2021
7760,DGS,DGS03143,Yes,Standard,5.65,11.06,4,10/18/2021
7760,DGS,DGS03144,Yes,Standard,26.87,37.1,5,10/18/2021
7760,DGS,DGS03145,Yes,Standard,22.83,41,5,10/18/2021
7760,DGS,DGS03146,Yes,Standard,5.09,15.08,2,10/18/2021
7760,DGS,DGS03147,Yes,Standard,15.08,27.72,4,10/18/2021
7760,DGS,DGS03148,Yes,Standard,7.73,18.28,4,10/18/2021
7760,DGS,DGS03149,Yes,Standard,1.16,3.79,1,10/18/2021
7760,DGS,DGS03150,Yes,Standard,2.62,7.49,5,10/18/2021
7760,DGS,DGS03151,Yes,Standard,18.34,34.39,4,10/18/2021
7760,DGS,DGS03152,Yes,Standard,14.67,25.55,5,10/18/2021
7760,DGS,DGS03153,Yes,Standard,17.06,32.16,5,10/18/2021
7760,DGS,DGS03154,Yes,Standard,15.2,27.12,5,10/18/2021
7760,DGS,DGS03155,Yes,Standard,6.24,11.96,5,10/18/2021
7760,DGS,DGS03156,Yes,Standard,18.11,41.27,5,10/18/2021
7760,DGS,DGS03157,Yes,Standard,10.56,23.66,5,10/18/2021
7760,DGS,DGS03158,Yes,Standard,10.39,24.39,0,10/18/2021
7760,DGS,DGS03159,Yes,Standard,11.05,14.97,5,10/18/2021
7760,DGS,DGS03160,Yes,Standard,26.76,46.41,5,10/18/2021
7760,DGS,DGS03161,Yes,Standard,4.02,12.14,3,10/18/2021
7760,DGS,DGS03162,Yes,Standard,19.2,36.91,4,10/18/2021
7760,DGS,DGS03163,Yes,Standard,3.51,10.05,5,10/18/2021
7760,DGS,DGS03164,Yes,Standard,30.96,38.37,4,10/18/2021
7760,DGS,DGS03165,Yes,Standard,9.47,17.91,2,10/18/2021
7760,DGS,DGS03166,Yes,Standard,10.59,27.15,5,10/18/2021
7760,DGS,DGS03167,Yes,Standard,8.92,26.04,5,10/18/2021
7760,DGS,DGS03168,Yes,Standard,12.09,25.64,2,10/18/2021
7760,DGS,DGS03169,Yes,Standard,6.22,15.65,5,10/18/2021
7760,DGS,DGS03170,Yes,Standard,40.59,52.99,4,10/18/2021
7760,DGS,DGS03171,Yes,Standard,2.88,8.44,3,10/18/2021
7760,DGS,DGS03172,Yes,Standard,47.35,58.9,5,10/18/2021
7760,DGS,DGS03173,Yes,Standard,6.63,20.66,0,10/18/2021
7760,DGS,DGS03174,Yes,Standard,16.78,25.39,5,10/18/2021
7760,DGS,DGS03175,Yes,Standard,8.37,16.44,0,10/18/2021
7760,DGS,DGS03176,Yes,Standard,10.76,23.56,5,10/18/2021
7760,DGS,DGS03177,Yes,Standard,7.84,14.77,5,10/18/2021
7760,DGS,DGS03178,Yes,Standard,3.39,10.67,5,10/18/2021
7760,DGS,DGS03179,Yes,Standard,5.93,13.86,5,10/18/2021
7760,DGS,DGS03180,Yes,Standard,3.71,11.15,5,10/18/2021
7760,DGS,DGS03181,Yes,Standard,14.72,27.91,2,10/18/2021
7760,DGS,DGS03182,Yes,Standard,0.38,1.7,5,10/18/2021
7760,DGS,DGS03183,Yes,Standard,16.35,31.01,5,10/18/2021
7760,DGS,DGS03184,Yes,Standard,37.34,51.18,5,10/18/2021
7760,DGS,DGS03185,Yes,Standard,6,21.7,5,10/18/2021
7760,DGS,DGS03186,Yes,Standard,10.87,24.25,5,10/18/2021
7760,DGS,DGS03187,Yes,Standard,8.05,22.12,4,10/18/2021
7760,DGS,DGS03188,Yes,Standard,16.04,28.7,5,10/18/2021
7760,DGS,DGS03189,Yes,Standard,2.61,10.45,3,10/18/2021
7760,DGS,DGS03190,Yes,Standard,5.64,13.36,4,10/18/2021
7760,DGS,DGS03191,Yes,Standard,39.28,43.46,5,10/18/2021
7760,DGS,DGS03192,Yes,Standard,17.32,28.86,5,10/18/2021
7760,DGS,DGS03193,Yes,Standard,68.77,80.66,2,10/18/2021
7760,DGS,DGS03194,Yes,Standard,7.15,16.05,3,10/18/2021
7760,DGS,DGS03195,Yes,Standard,500.97,419.98,3,10/18/2021
7760,DGS,DGS03196,Yes,Standard,16.61,30.57,5,10/18/2021
7760,DGS,DGS03197,Yes,Standard,6.72,12.15,3,10/18/2021
7760,DGS,DGS03199,Yes,Standard,4.92,15.37,5,10/18/2021
7760,DGS,DGS03200,Yes,Standard,75.49,90.62,2,10/18/2021
7760,DGS,DGS03202,Yes,Standard,27.61,51.63,5,10/18/2021
7760,DGS,DGS03203,Yes,Standard,4.44,12.52,5,10/18/2021
7760,DGS,DGS03204,Yes,Standard,13.17,24.88,0,10/18/2021
7760,DGS,DGS03205,Yes,Standard,16.63,24.35,0,10/18/2021
7760,DGS,DGS03206,Yes,Standard,52.11,57.64,3,10/18/2021
7760,DGS,DGS03207,Yes,Standard,20.7,32.74,5,10/18/2021
7760,DGS,DGS03208,Yes,Standard,17.39,31.44,5,10/18/2021
7760,DGS,DGS03209,Yes,Standard,4.03,10.92,4,10/18/2021
7760,DGS,DGS03210,Yes,Standard,35.76,43.36,5,10/18/2021
7760,DGS,DGS03211,Yes,Standard,32.67,42.23,5,10/18/2021
7760,DGS,DGS03212,Yes,Standard,6.39,12.48,5,10/18/2021
7760,DGS,DGS03213,Yes,Standard,5.58,12.24,5,10/18/2021
7760,DGS,DGS03214,Yes,Standard,15.97,29.44,4,10/18/2021
7760,DGS,DGS03215,Yes,Standard,1.72,5.36,4,10/18/2021
7760,DGS,DGS03216,Yes,Standard,2.72,8.06,5,10/18/2021
7760,DGS,DGS03217,Yes,Standard,14.8,27.59,1,10/18/2021
7760,DGS,DGS03218,Yes,Standard,13.08,27.68,5,10/18/2021
7760,DGS,DGS03219,Yes,Standard,96.24,133.14,5,10/18/2021
7760,DGS,DGS03220,Yes,Standard,12.7,26.66,3,10/18/2021
7760,DGS,DGS03221,Yes,Standard,17.32,30.9,5,10/18/2021
7760,DGS,DGS03222,Yes,Standard,6,12.26,5,10/18/2021
7760,DGS,DGS03223,Yes,Standard,13.92,22.72,5,10/18/2021
7760,DGS,DGS03224,Yes,Standard,5.7,13.97,5,10/18/2021
7760,DGS,DGS03225,Yes,Standard,11.08,25.57,4,10/18/2021
7760,DGS,DGS03226,Yes,Standard,43.73,51.61,4,10/18/2021
7760,DGS,DGS03227,Yes,Standard,6.38,21.69,5,10/18/2021
7760,DGS,DGS03228,Yes,Standard,15.69,28.33,3,10/18/2021
7760,DGS,DGS03229,Yes,Standard,18.09,25.54,5,10/18/2021
7760,DGS,DGS03230,Yes,Standard,12.73,21.99,3,10/18/2021
7760,DGS,DGS03231,Yes,Standard,2.28,7.14,5,10/18/2021
7760,DGS,DGS03232,Yes,Standard,19.26,35.32,1,10/18/2021
7760,DGS,DGS03233,Yes,Standard,13.55,22.02,4,10/18/2021
7760,DGS,DGS03234,Yes,Standard,54.47,64.47,5,10/18/2021
7760,DGS,DGS03235,Yes,Standard,9.7,20.8,5,10/18/2021
7760,DGS,DGS03236,Yes,Standard,20.92,38.63,5,10/18/2021
7760,DGS,DGS03237,Yes,Standard,7.5,15.88,5,10/18/2021
7760,DGS,DGS03238,Yes,Standard,2.46,8.55,5,10/18/2021
7760,DGS,DGS03239,Yes,Standard,3.04,8.27,5,10/18/2021
7760,DGS,DGS03240,Yes,Standard,5.57,12.99,5,10/18/2021
7760,DGS,DGS03241,Yes,Standard,23.46,40.44,2,10/18/2021
7760,DGS,DGS03242,Yes,Standard,14.47,34.12,0,10/18/2021
7760,DGS,DGS03243,Yes,Standard,17.84,32.68,5,10/18/2021
7760,DGS,DGS03244,Yes,Standard,8.62,19.41,5,10/18/2021
7760,DGS,DGS03245,Yes,Standard,8.5,17.39,4,10/18/2021
7760,DGS,DGS03246,Yes,Standard,21.36,25.53,4,10/18/2021
7760,DGS,DGS03247,Yes,Standard,8.82,19.61,4,10/18/2021
7760,DGS,DGS03248,Yes,Standard,10.78,21.8,5,10/18/2021
7760,DGS,DGS03249,Yes,Standard,11.89,24.97,5,10/18/2021
7760,DGS,DGS03250,Yes,Standard,5.54,19.53,5,10/18/2021
7760,DGS,DGS03251,Yes,Standard,16.48,29.94,5,10/18/2021
7760,DGS,DGS03252,Yes,Standard,2.62,11.33,4,10/18/2021
7760,DGS,DGS03253,Yes,Standard,10.67,22.89,5,10/18/2021
7760,DGS,DGS03255,Yes,Standard,11.17,25.86,1,10/18/2021
7760,DGS,DGS03256,Yes,Standard,3.68,12.7,4,10/18/2021
7760,DGS,DGS03257,Yes,Standard,6.1,19.32,5,10/18/2021
7760,DGS,DGS03258,Yes,Standard,32.14,42.59,2,10/18/2021
7760,DGS,DGS03259,Yes,Standard,7.5,15.75,5,10/18/2021
7760,DGS,DGS03260,Yes,Standard,2.88,10.08,5,10/18/2021
7760,DGS,DGS03261,Yes,Standard,23.45,35.01,5,10/18/2021
7760,DGS,DGS03262,Yes,Standard,14.72,23.19,5,10/18/2021
7760,DGS,DGS03263,Yes,Standard,21.65,29.11,5,10/18/2021
7760,DGS,DGS03265,Yes,Standard,24.57,39.71,5,10/18/2021
7760,DGS,DGS03266,Yes,Standard,6,11.44,5,10/18/2021
7760,DGS,DGS03267,Yes,Standard,15.08,27.72,5,10/18/2021
7760,DGS,DGS03268,Yes,Standard,8.77,15.68,4,10/18/2021
7760,DGS,DGS03269,Yes,Standard,55.32,71.62,5,10/18/2021
7760,DGS,DGS03270,Yes,Standard,2.96,9.72,5,10/18/2021
7760,DGS,DGS03272,Yes,Standard,23.25,35.7,5,10/18/2021
7760,DGS,DGS03273,Yes,Standard,4.13,10.85,5,10/18/2021
7760,DGS,DGS03274,Yes,Standard,8.65,22.78,3,10/18/2021
7760,DGS,DGS03275,Yes,Standard,29.47,43.77,5,10/18/2021
7760,DGS,DGS03276,Yes,Standard,8.79,16.07,4,10/18/2021
7760,DGS,DGS03277,Yes,Standard,17.77,29.68,5,10/18/2021
7760,DGS,DGS03278,Yes,Standard,2.13,7.26,5,10/18/2021
7760,DGS,DGS03279,Yes,Standard,13.75,33.11,3,10/18/2021
7760,DGS,DGS03280,Yes,Standard,31.72,37.56,5,10/18/2021
7760,DGS,DGS03281,Yes,Standard,5.7,13.97,5,10/18/2021
7760,DGS,DGS03282,Yes,Standard,39.31,44.98,4,10/18/2021
7760,DGS,DGS03283,Yes,Standard,14.47,23.5,4,10/18/2021
7760,DGS,DGS03284,Yes,Standard,12.25,23.77,4,10/18/2021
